index,year,area,population
0,2019,서울,9729107
1,2019,부산,3413841
2,2019,대구,2438031
3,2019,인천,2957026
4,2019,광주,1456468
5,2019,대전,1474870
6,2019,울산,1148019
7,2019,세종,340575
8,2019,경기,13239666
9,2019,강원,1541502
10,2019,충북,1600007
11,2019,충남,2123709
12,2019,전북,1818917
13,2019,전남,1868745
14,2019,경북,2665836
15,2019,경남,3362553
16,2019,제주,670989
17,2020,서울,9668465
18,2020,부산,3391946
19,2020,대구,2418346
20,2020,인천,2942828
21,2020,광주,1450062
22,2020,대전,1463882
23,2020,울산,1136017
24,2020,세종,355831
25,2020,경기,13427014
26,2020,강원,1542840
27,2020,충북,1600837
28,2020,충남,2121029
29,2020,전북,1804104
30,2020,전남,1851549
31,2020,경북,2639422
32,2020,경남,3340216
33,2020,제주,674635
34,2021,서울,9509458
35,2021,부산,3350380
36,2021,대구,2385412
37,2021,인천,2948375
38,2021,광주,1441611
39,2021,대전,1452251
40,2021,울산,1121592
41,2021,세종,371895
42,2021,경기,13565450
43,2021,강원,1538492
44,2021,충북,1597427
45,2021,충남,2119257
46,2021,전북,1786855
47,2021,전남,1832803
48,2021,경북,2626609
49,2021,경남,3314183
50,2021,제주,676759
