,year,area,population
0,2014,서울,10103233
1,2014,부산,3519401
2,2014,대구,2493264
3,2014,인천,2902608
4,2014,광주,1475884
5,2014,대전,1531809
6,2014,울산,1166377
7,2014,세종,156125
8,2014,경기,12357830
9,2014,강원,1544442
10,2014,충북,1578933
11,2014,충남,2062273
12,2014,전북,1871560
13,2014,전남,1905780
14,2014,경북,2700794
15,2014,경남,3350257
16,2014,제주,607346
17,2015,서울,10022181
18,2015,부산,3513777
19,2015,대구,2487829
20,2015,인천,2925815
21,2015,광주,1472199
22,2015,대전,1518775
23,2015,울산,1173534
24,2015,세종,210884
25,2015,경기,12522606
26,2015,강원,1549507
27,2015,충북,1583952
28,2015,충남,2077649
29,2015,전북,1869711
30,2015,전남,1908996
31,2015,경북,2702826
32,2015,경남,3364702
33,2015,제주,624395
34,2016,서울,9930616
35,2016,부산,3498529
36,2016,대구,2484557
37,2016,인천,2943069
38,2016,광주,1469214
39,2016,대전,1514370
40,2016,울산,1172304
41,2016,세종,243048
42,2016,경기,12716780
43,2016,강원,1550806
44,2016,충북,1591625
45,2016,충남,2096727
46,2016,전북,1864791
47,2016,전남,1903914
48,2016,경북,2700398
49,2016,경남,3373871
50,2016,제주,641597
51,2017,서울,9857426
52,2017,부산,3470653
53,2017,대구,2475231
54,2017,인천,2948542
55,2017,광주,1463770
56,2017,대전,1502227
57,2017,울산,1165132
58,2017,세종,280100
59,2017,경기,12873895
60,2017,강원,1550142
61,2017,충북,1594432
62,2017,충남,2116770
63,2017,전북,1854607
64,2017,전남,1896424
65,2017,경북,2691706
66,2017,경남,3380404
67,2017,제주,657083
68,2018,서울,9765623
69,2018,부산,3441453
70,2018,대구,2461769
71,2018,인천,2954642
72,2018,광주,1459336
73,2018,대전,1489936
74,2018,울산,1155623
75,2018,세종,314126
76,2018,경기,13077153
77,2018,강원,1543052
78,2018,충북,1599252
79,2018,충남,2126282
80,2018,전북,1836832
81,2018,전남,1882970
82,2018,경북,2676831
83,2018,경남,3373988
84,2018,제주,667191
85,2019,서울,9729107
86,2019,부산,3413841
87,2019,대구,2438031
88,2019,인천,2957026
89,2019,광주,1456468
90,2019,대전,1474870
91,2019,울산,1148019
92,2019,세종,340575
93,2019,경기,13239666
94,2019,강원,1541502
95,2019,충북,1600007
96,2019,충남,2123709
97,2019,전북,1818917
98,2019,전남,1868745
99,2019,경북,2665836
100,2019,경남,3362553
101,2019,제주,670989
102,2020,서울,9668465
103,2020,부산,3391946
104,2020,대구,2418346
105,2020,인천,2942828
106,2020,광주,1450062
107,2020,대전,1463882
108,2020,울산,1136017
109,2020,세종,355831
110,2020,경기,13427014
111,2020,강원,1542840
112,2020,충북,1600837
113,2020,충남,2121029
114,2020,전북,1804104
115,2020,전남,1851549
116,2020,경북,2639422
117,2020,경남,3340216
118,2020,제주,674635
119,2021,서울,9509458
120,2021,부산,3350380
121,2021,대구,2385412
122,2021,인천,2948375
123,2021,광주,1441611
124,2021,대전,1452251
125,2021,울산,1121592
126,2021,세종,371895
127,2021,경기,13565450
128,2021,강원,1538492
129,2021,충북,1597427
130,2021,충남,2119257
131,2021,전북,1786855
132,2021,전남,1832803
133,2021,경북,2626609
134,2021,경남,3314183
135,2021,제주,676759
